/* DATA DESCRIPTION:
THIS IS PRELIMINARY RAW DATA! DO NOT USE IN PUBLICATIONS!
FOR PUBLICATIONS VISIT WWW.PANGAEA.DE TO FIND THE VALIDATED DATASET!
Institution: Alfred Wegener Institut, Helmholtz Center for Polar and Marine Research
Station name: DBLK
WMO ID: 00067
PI: Holger Schmithüsen [holger.schmithuesen@awi.de]
Operator: Juliane Hempelt
Cruise: PS113


Coverage:	LATITUDE: -19.66389 * LONGITUDE: -33.65251
	DATE/TIME START: 2018-05-19T11:10:13 * DATE/TIME END: 2018-05-19T12:45:55
	MINIMUM ALTITUDE: 10m * MAXIMUM ALTITUDE: 31196m
*/
Altitude [m]	PPPP [hPa]	TTT [°C]	RH [%]	dd [deg]	ff [m/s]
10	1015.33	24.30	74.0	 49	13.4
15	1014.71	24.33	73.2	 50	13.1
22	1013.98	24.36	72.4	 51	12.8
27	1013.40	24.37	71.8	 52	12.5
31	1012.94	24.37	71.3	 54	12.2
35	1012.49	24.34	71.0	 55	11.9
38	1012.05	24.29	70.6	 56	11.7
43	1011.56	24.24	70.2	 58	11.5
47	1011.00	24.19	69.9	 59	11.3
52	1010.44	24.15	69.9	 60	11.2
57	1009.89	24.10	70.1	 61	11.1
62	1009.33	24.05	70.4	 62	11.0
68	1008.70	23.98	70.7	 63	11.0
74	1007.99	23.90	71.0	 63	11.0
80	1007.28	23.85	71.1	 64	11.1
86	1006.58	23.82	71.0	 64	11.2
92	1005.84	23.79	70.9	 64	11.4
99	1005.06	23.73	70.7	 64	11.6
106	1004.30	23.67	70.6	 64	11.9
111	1003.65	23.63	70.5	 63	12.1
116	1003.11	23.59	70.7	 63	12.2
120	1002.63	23.55	71.1	 63	12.4
125	1002.14	23.50	71.6	 63	12.5
129	1001.63	23.47	72.0	 63	12.7
133	1001.15	23.43	72.3	 63	12.8
137	1000.71	23.39	72.7	 63	12.8
141	1000.24	23.33	73.1	 63	12.9
146	999.69	23.27	73.4	 63	12.9
152	999.06	23.23	73.4	 63	13.0
157	998.42	23.21	73.4	 63	13.0
162	997.83	23.20	73.3	 63	13.0
167	997.29	23.22	73.0	 63	13.0
172	996.77	23.25	72.6	 63	12.9
176	996.26	23.29	72.2	 63	12.9
181	995.72	23.33	71.7	 63	12.9
186	995.13	23.37	71.2	 63	12.8
192	994.50	23.38	70.9	 63	12.8
197	993.89	23.36	70.8	 63	12.7
202	993.32	23.32	71.1	 63	12.7
207	992.73	23.28	71.6	 63	12.6
213	992.08	23.21	72.2	 63	12.6
219	991.43	23.14	72.8	 63	12.5
224	990.85	23.08	73.2	 63	12.5
228	990.35	23.03	73.4	 63	12.5
232	989.87	22.98	73.7	 63	12.4
237	989.31	22.93	73.9	 63	12.4
243	988.70	22.88	74.2	 62	12.3
248	988.07	22.82	74.5	 62	12.3
254	987.47	22.75	74.9	 62	12.3
259	986.89	22.69	75.3	 62	12.2
264	986.33	22.62	75.6	 62	12.2
268	985.79	22.56	75.9	 61	12.2
273	985.27	22.52	76.0	 61	12.1
277	984.79	22.49	76.1	 61	12.1
281	984.32	22.46	76.3	 60	12.1
286	983.83	22.43	76.4	 60	12.0
291	983.28	22.40	76.4	 60	12.0
296	982.71	22.37	76.5	 60	12.0
301	982.14	22.33	76.7	 59	11.9
306	981.59	22.29	77.1	 59	11.9
310	981.05	22.25	77.4	 59	11.9
315	980.53	22.20	77.7	 59	11.9
320	980.01	22.14	77.8	 58	11.9
324	979.52	22.09	78.0	 58	11.9
328	979.05	22.05	78.1	 58	11.9
333	978.55	22.01	78.2	 58	11.9
338	977.98	21.97	78.3	 58	11.9
343	977.37	21.92	78.4	 58	11.9
349	976.77	21.88	78.6	 57	11.9
354	976.20	21.84	78.8	 57	11.9
358	975.66	21.80	79.0	 57	12.0
364	975.09	21.76	79.1	 57	12.0
369	974.44	21.72	79.3	 57	12.1
376	973.69	21.67	79.5	 57	12.1
383	972.92	21.61	79.7	 57	12.2
389	972.19	21.56	79.9	 57	12.3
395	971.56	21.52	80.0	 57	12.4
400	971.01	21.48	80.1	 57	12.4
405	970.49	21.45	80.1	 57	12.5
410	969.95	21.41	80.2	 57	12.6
415	969.38	21.37	80.4	 58	12.6
420	968.78	21.32	80.5	 58	12.7
426	968.16	21.28	80.6	 58	12.7
431	967.55	21.23	80.6	 58	12.8
437	966.93	21.19	80.5	 58	12.8
442	966.31	21.14	80.5	 58	12.9
448	965.69	21.10	80.4	 58	12.9
453	965.11	21.06	80.4	 59	12.9
458	964.57	21.02	80.4	 59	12.9
463	964.02	20.99	80.4	 59	12.9
468	963.46	20.95	80.5	 59	12.9
473	962.90	20.92	80.5	 59	12.9
478	962.32	20.87	80.6	 60	12.8
484	961.72	20.82	80.8	 60	12.8
489	961.10	20.76	81.0	 60	12.7
495	960.48	20.72	81.1	 61	12.7
500	959.88	20.67	81.3	 61	12.6
505	959.33	20.63	81.4	 61	12.6
510	958.77	20.59	81.6	 62	12.5
516	958.16	20.54	81.7	 62	12.4
521	957.53	20.50	81.8	 62	12.3
526	956.98	20.47	82.0	 63	12.2
531	956.48	20.43	82.1	 63	12.2
536	955.96	20.38	82.3	 64	12.1
541	955.33	20.33	82.6	 64	12.0
548	954.63	20.27	82.9	 64	12.0
554	953.97	20.21	83.2	 65	11.9
559	953.37	20.15	83.5	 65	11.8
564	952.80	20.10	83.7	 65	11.8
569	952.23	20.07	83.7	 65	11.7
575	951.66	20.05	83.5	 66	11.7
580	951.05	20.03	83.4	 66	11.7
586	950.39	19.99	83.5	 66	11.6
593	949.66	19.94	83.7	 66	11.6
599	948.95	19.87	83.9	 66	11.6
605	948.32	19.81	84.2	 66	11.5
610	947.80	19.75	84.4	 66	11.5
614	947.34	19.69	84.7	 66	11.5
618	946.86	19.65	84.9	 66	11.5
623	946.31	19.60	85.1	 66	11.5
629	945.70	19.55	85.2	 66	11.5
634	945.12	19.50	85.4	 65	11.5
639	944.59	19.45	85.4	 65	11.5
644	944.07	19.42	85.0	 65	11.5
649	943.51	19.41	84.5	 65	11.5
655	942.90	19.38	84.1	 64	11.5
660	942.27	19.34	83.9	 64	11.5
666	941.67	19.31	83.6	 64	11.5
671	941.07	19.28	83.2	 64	11.6
677	940.48	19.25	82.8	 64	11.6
682	939.92	19.22	82.6	 63	11.6
686	939.41	19.19	82.5	 63	11.7
691	938.94	19.15	82.4	 63	11.7
695	938.48	19.11	82.4	 63	11.7
699	938.01	19.06	82.5	 63	11.8
704	937.54	19.02	82.6	 63	11.8
708	937.07	18.98	82.7	 63	11.9
712	936.63	18.94	82.8	 63	11.9
716	936.20	18.90	82.9	 63	12.0
720	935.76	18.87	82.9	 63	12.0
724	935.28	18.84	82.8	 64	12.0
729	934.76	18.80	82.8	 64	12.1
734	934.25	18.75	82.9	 64	12.1
738	933.77	18.70	83.1	 64	12.1
743	933.31	18.65	83.3	 64	12.1
747	932.85	18.60	83.5	 64	12.1
751	932.39	18.56	83.5	 64	12.1
756	931.89	18.53	83.5	 65	12.1
760	931.39	18.50	83.4	 65	12.1
765	930.91	18.46	83.4	 65	12.1
769	930.44	18.42	83.4	 65	12.0
774	929.93	18.38	83.6	 65	12.0
779	929.37	18.35	83.7	 65	11.9
784	928.78	18.32	83.9	 65	11.9
790	928.16	18.29	84.1	 65	11.8
796	927.57	18.24	84.3	 65	11.7
801	927.01	18.20	84.5	 65	11.6
806	926.49	18.16	84.7	 65	11.6
810	925.98	18.12	84.9	 64	11.5
815	925.49	18.08	85.2	 64	11.4
819	925.04	18.04	85.5	 64	11.3
823	924.59	18.00	85.9	 64	11.2
828	924.12	17.97	86.2	 63	11.2
832	923.63	17.93	86.5	 63	11.1
837	923.15	17.90	86.7	 63	11.0
841	922.67	17.86	86.8	 62	10.9
846	922.17	17.81	86.9	 62	10.9
851	921.63	17.75	87.0	 62	10.8
856	921.08	17.70	87.2	 61	10.8
861	920.53	17.65	87.3	 61	10.7
866	920.01	17.60	87.5	 60	10.7
870	919.51	17.56	87.7	 60	10.6
875	919.04	17.51	87.9	 60	10.6
880	918.54	17.46	88.1	 59	10.6
884	918.03	17.42	88.3	 59	10.5
889	917.49	17.38	88.5	 58	10.5
895	916.94	17.33	88.7	 58	10.5
899	916.45	17.29	88.9	 57	10.5
903	916.04	17.26	89.1	 57	10.5
907	915.65	17.22	89.3	 57	10.4
911	915.20	17.18	89.4	 56	10.4
916	914.66	17.14	89.5	 56	10.4
921	914.07	17.09	89.4	 55	10.4
927	913.46	17.05	89.4	 55	10.4
933	912.88	17.01	89.5	 55	10.4
938	912.28	16.96	89.9	 54	10.3
944	911.64	16.91	90.3	 54	10.3
950	910.97	16.85	90.7	 53	10.3
